"mtry","ntree","nodesize"
13,5000,110
14,5000,110
15,5000,110
2,6000,110
3,6000,110
4,6000,110
5,6000,110
6,6000,110
7,6000,110
8,6000,110
9,6000,110
10,6000,110
11,6000,110
12,6000,110
13,6000,110
14,6000,110
15,6000,110
2,7000,110
3,7000,110
4,7000,110
5,7000,110
6,7000,110
7,7000,110
8,7000,110
9,7000,110
10,7000,110
11,7000,110
12,7000,110
13,7000,110
14,7000,110
15,7000,110
2,8000,110
3,8000,110
4,8000,110
5,8000,110
6,8000,110
7,8000,110
8,8000,110
9,8000,110
10,8000,110
11,8000,110
12,8000,110
13,8000,110
14,8000,110
15,8000,110
2,9000,110
3,9000,110
4,9000,110
5,9000,110
6,9000,110
7,9000,110
8,9000,110
9,9000,110
10,9000,110
11,9000,110
12,9000,110
13,9000,110
14,9000,110
15,9000,110
2,10000,110
3,10000,110
4,10000,110
5,10000,110
6,10000,110
7,10000,110
8,10000,110
9,10000,110
10,10000,110
11,10000,110
12,10000,110
13,10000,110
14,10000,110
15,10000,110
2,1000,120
3,1000,120
4,1000,120
5,1000,120
6,1000,120
7,1000,120
8,1000,120
9,1000,120
10,1000,120
11,1000,120
12,1000,120
13,1000,120
14,1000,120
15,1000,120
2,2000,120
3,2000,120
4,2000,120
5,2000,120
6,2000,120
7,2000,120
8,2000,120
9,2000,120
10,2000,120
11,2000,120
12,2000,120
13,2000,120
14,2000,120
15,2000,120
2,3000,120
3,3000,120
4,3000,120
5,3000,120
6,3000,120
7,3000,120
8,3000,120
9,3000,120
10,3000,120
11,3000,120
12,3000,120
13,3000,120
14,3000,120
15,3000,120
2,4000,120
3,4000,120
4,4000,120
5,4000,120
6,4000,120
7,4000,120
8,4000,120
9,4000,120
10,4000,120
11,4000,120
12,4000,120
13,4000,120
14,4000,120
15,4000,120
2,5000,120
3,5000,120
4,5000,120
5,5000,120
6,5000,120
7,5000,120
8,5000,120
9,5000,120
10,5000,120
11,5000,120
12,5000,120
13,5000,120
14,5000,120
15,5000,120
2,6000,120
3,6000,120
4,6000,120
5,6000,120
6,6000,120
7,6000,120
8,6000,120
9,6000,120
10,6000,120
11,6000,120
12,6000,120
13,6000,120
14,6000,120
15,6000,120
2,7000,120
3,7000,120
4,7000,120
5,7000,120
6,7000,120
7,7000,120
8,7000,120
9,7000,120
10,7000,120
11,7000,120
12,7000,120
13,7000,120
14,7000,120
15,7000,120
2,8000,120
3,8000,120
4,8000,120
5,8000,120
6,8000,120
7,8000,120
8,8000,120
9,8000,120
10,8000,120
11,8000,120
12,8000,120
13,8000,120
14,8000,120
15,8000,120
2,9000,120
3,9000,120
4,9000,120
5,9000,120
6,9000,120
7,9000,120
8,9000,120
9,9000,120
10,9000,120
11,9000,120
12,9000,120
13,9000,120
14,9000,120
15,9000,120
2,10000,120
3,10000,120
4,10000,120
5,10000,120
6,10000,120
7,10000,120
8,10000,120
9,10000,120
10,10000,120
11,10000,120
12,10000,120
13,10000,120
14,10000,120
15,10000,120
2,1000,130
3,1000,130
4,1000,130
5,1000,130
6,1000,130
7,1000,130
8,1000,130
9,1000,130
10,1000,130
11,1000,130
12,1000,130
13,1000,130
14,1000,130
15,1000,130
2,2000,130
3,2000,130
4,2000,130
5,2000,130
6,2000,130
7,2000,130
8,2000,130
9,2000,130
10,2000,130
11,2000,130
12,2000,130
13,2000,130
14,2000,130
15,2000,130
2,3000,130
3,3000,130
4,3000,130
5,3000,130
6,3000,130
7,3000,130
8,3000,130
9,3000,130
10,3000,130
11,3000,130
12,3000,130
13,3000,130
14,3000,130
15,3000,130
2,4000,130
3,4000,130
4,4000,130
5,4000,130
6,4000,130
7,4000,130
8,4000,130
9,4000,130
10,4000,130
11,4000,130
12,4000,130
13,4000,130
14,4000,130
15,4000,130
2,5000,130
3,5000,130
4,5000,130
5,5000,130
6,5000,130
7,5000,130
8,5000,130
9,5000,130
10,5000,130
11,5000,130
12,5000,130
13,5000,130
14,5000,130
15,5000,130
2,6000,130
3,6000,130
4,6000,130
5,6000,130
6,6000,130
7,6000,130
8,6000,130
9,6000,130
10,6000,130
11,6000,130
12,6000,130
13,6000,130
14,6000,130
15,6000,130
2,7000,130
3,7000,130
4,7000,130
5,7000,130
6,7000,130
7,7000,130
8,7000,130
9,7000,130
10,7000,130
11,7000,130
12,7000,130
13,7000,130
14,7000,130
15,7000,130
2,8000,130
3,8000,130
4,8000,130
5,8000,130
6,8000,130
7,8000,130
8,8000,130
9,8000,130
10,8000,130
11,8000,130
12,8000,130
13,8000,130
14,8000,130
15,8000,130
2,9000,130
3,9000,130
4,9000,130
5,9000,130
6,9000,130
7,9000,130
8,9000,130
9,9000,130
10,9000,130
11,9000,130
12,9000,130
13,9000,130
14,9000,130
15,9000,130
2,10000,130
3,10000,130
4,10000,130
5,10000,130
6,10000,130
7,10000,130
8,10000,130
9,10000,130
10,10000,130
11,10000,130
12,10000,130
13,10000,130
14,10000,130
15,10000,130
2,1000,140
3,1000,140
4,1000,140
5,1000,140
6,1000,140
7,1000,140
8,1000,140
9,1000,140
10,1000,140
11,1000,140
12,1000,140
13,1000,140
14,1000,140
15,1000,140
2,2000,140
3,2000,140
4,2000,140
5,2000,140
6,2000,140
7,2000,140
8,2000,140
9,2000,140
10,2000,140
11,2000,140
12,2000,140
13,2000,140
14,2000,140
15,2000,140
2,3000,140
3,3000,140
4,3000,140
5,3000,140
6,3000,140
7,3000,140
8,3000,140
9,3000,140
10,3000,140
11,3000,140
12,3000,140
13,3000,140
14,3000,140
15,3000,140
2,4000,140
3,4000,140
4,4000,140
5,4000,140
6,4000,140
7,4000,140
8,4000,140
9,4000,140
10,4000,140
11,4000,140
12,4000,140
13,4000,140
14,4000,140
15,4000,140
2,5000,140
3,5000,140
4,5000,140
5,5000,140
6,5000,140
7,5000,140
8,5000,140
9,5000,140
10,5000,140
11,5000,140
12,5000,140
13,5000,140
14,5000,140
15,5000,140
2,6000,140
3,6000,140
4,6000,140
5,6000,140
6,6000,140
7,6000,140
8,6000,140
9,6000,140
10,6000,140
11,6000,140
12,6000,140
13,6000,140
14,6000,140
15,6000,140
2,7000,140
3,7000,140
4,7000,140
5,7000,140
6,7000,140
7,7000,140
8,7000,140
9,7000,140
10,7000,140
11,7000,140
12,7000,140
13,7000,140
14,7000,140
15,7000,140
2,8000,140
3,8000,140
4,8000,140
5,8000,140
6,8000,140
7,8000,140
8,8000,140
9,8000,140
10,8000,140
11,8000,140
12,8000,140
13,8000,140
14,8000,140
15,8000,140
2,9000,140
3,9000,140
4,9000,140
5,9000,140
6,9000,140
7,9000,140
8,9000,140
9,9000,140
10,9000,140
11,9000,140
12,9000,140
13,9000,140
14,9000,140
15,9000,140
2,10000,140
3,10000,140
4,10000,140
5,10000,140
6,10000,140
7,10000,140
8,10000,140
9,10000,140
10,10000,140
11,10000,140
12,10000,140
13,10000,140
14,10000,140
15,10000,140
2,1000,150
3,1000,150
4,1000,150
5,1000,150
6,1000,150
7,1000,150
8,1000,150
9,1000,150
10,1000,150
11,1000,150
12,1000,150
13,1000,150
14,1000,150
15,1000,150
2,2000,150
3,2000,150
4,2000,150
5,2000,150
6,2000,150
7,2000,150
8,2000,150
9,2000,150
10,2000,150
11,2000,150
12,2000,150
13,2000,150
14,2000,150
15,2000,150
2,3000,150
