"combination","mtry","nodesize","ntree","thr_value","Sens_train","F1_train","B.Accuracy_train","TSS_train","AUC_train","Sens_test","F1_test","B.Accuracy_test","TSS_test","AUC_test"
1160,13,90,3000,0.709301371335884,0.849333333333333,0.255177667806791,0.833314564659344,0.666629129318689,0.833314564659344,0.842666666666667,0.25889068443264,0.83289898989899,0.66579797979798,0.83289898989899
1161,14,90,3000,0.681177288296195,0.853333333333334,0.257880988625507,0.836337162816143,0.672674325632286,0.836337162816143,0.848,0.262530345389016,0.836575757575758,0.673151515151515,0.836575757575758
1162,15,90,3000,0.687790316045438,0.856666666666667,0.253615841703711,0.834961284349619,0.669922568699238,0.834961284349619,0.837333333333333,0.252345130488671,0.827,0.654,0.827
1163,2,100,3000,0.613061461424352,0.855333333333333,0.274955049228636,0.844583722593948,0.689167445187897,0.844583722593948,0.885333333333334,0.288802107384983,0.861353535353535,0.722707070707071,0.861353535353535
1164,3,100,3000,0.598412508826647,0.884666666666667,0.267139710655054,0.851132727349241,0.702265454698481,0.851132727349241,0.896,0.269548646496372,0.857040404040404,0.714080808080808,0.857040404040404
1165,4,100,3000,0.619279611905952,0.883333333333333,0.264929311508693,0.849607583217607,0.699215166435214,0.849607583217607,0.896,0.2697613115385,0.856888888888889,0.713777777777778,0.856888888888889
1166,5,100,3000,0.579524410907604,0.888,0.259338989565116,0.849971468248958,0.699942936497917,0.849971468248958,0.882666666666667,0.25963743074228,0.84779797979798,0.69559595959596,0.84779797979798
1167,6,100,3000,0.609181699473789,0.881333333333333,0.25368101138135,0.844012203846316,0.688024407692632,0.844012203846316,0.877333333333333,0.253475253103319,0.842555555555556,0.685111111111111,0.842555555555556
1168,7,100,3000,0.632451964529264,0.865333333333333,0.271771696633871,0.847387030257122,0.694774060514245,0.847387030257122,0.861333333333333,0.272352838849523,0.846070707070707,0.692141414141414,0.846070707070707
1169,8,100,3000,0.632532145940098,0.865333333333333,0.26066599653691,0.841112569961705,0.68222513992341,0.841112569961705,0.872,0.265607508653892,0.84650505050505,0.693010101010101,0.84650505050505
1170,9,100,3000,0.640541549953544,0.843333333333333,0.27018444869704,0.837573749105753,0.675147498211505,0.837573749105753,0.853333333333333,0.277852711408917,0.844242424242424,0.688484848484849,0.844242424242424
1171,10,100,3000,0.621030911851983,0.87,0.248679211260265,0.837512309051887,0.675024618103775,0.837512309051887,0.882666666666667,0.256701570359713,0.846636363636364,0.693272727272727,0.846636363636364
1172,11,100,3000,0.643530351459472,0.864666666666667,0.254351074501585,0.838216428902075,0.676432857804149,0.838216428902075,0.858666666666667,0.257734914100536,0.837515151515151,0.675030303030303,0.837515151515151
1173,12,100,3000,0.643941450684175,0.865333333333333,0.250524243781472,0.836794933299668,0.673589866599335,0.836794933299668,0.858666666666667,0.253761524047766,0.835848484848485,0.671696969696969,0.835848484848485
1174,13,100,3000,0.709042552616952,0.843333333333333,0.257816465136646,0.832119892269494,0.664239784538989,0.832119892269494,0.832,0.259228277077866,0.828323232323232,0.656646464646465,0.828323232323232
1175,14,100,3000,0.674424361314916,0.856666666666667,0.257085789524841,0.836804485965577,0.673608971931154,0.836804485965577,0.845333333333333,0.261145155187773,0.834888888888889,0.669777777777778,0.834888888888889
1176,15,100,3000,0.69126894417288,0.852666666666667,0.253260362164558,0.833226402390271,0.666452804780541,0.833226402390271,0.834666666666667,0.252376585658327,0.826121212121212,0.652242424242424,0.826121212121212
1177,2,110,3000,0.617736989063592,0.864,0.279756308822747,0.849257921979548,0.698515843959096,0.849257921979548,0.888,0.288274980293675,0.861929292929293,0.723858585858586,0.861929292929293
1178,3,110,3000,0.602928362900322,0.872666666666667,0.271823954132038,0.849740731389134,0.699481462778269,0.849740731389134,0.890666666666667,0.278631898216543,0.859828282828283,0.719656565656566,0.859828282828283
1179,4,110,3000,0.61280804847431,0.893333333333334,0.264486840154149,0.853408239700375,0.706816479400749,0.853408239700375,0.909333333333333,0.274367212357324,0.863808080808081,0.727616161616162,0.863808080808081
1180,5,110,3000,0.592951131569262,0.877333333333333,0.267887721545041,0.849574380339183,0.699148760678366,0.849574380339183,0.874666666666666,0.265611523856655,0.847737373737374,0.695474747474747,0.847737373737374
1181,6,110,3000,0.59567371369144,0.893333333333333,0.246465140354806,0.844873963725119,0.689747927450238,0.844873963725119,0.890666666666667,0.248449257188246,0.844878787878788,0.689757575757576,0.844878787878788
1182,7,110,3000,0.627394494957931,0.870666666666667,0.267380054843026,0.847352017842865,0.69470403568573,0.847352017842865,0.872,0.271175261435826,0.849535353535354,0.699070707070707,0.849535353535354
1183,8,110,3000,0.636516000029531,0.860666666666667,0.266146086279146,0.842718133232336,0.685436266464672,0.842718133232336,0.869333333333333,0.270807950692783,0.84830303030303,0.69660606060606,0.84830303030303
1184,9,110,3000,0.6507735164708,0.838666666666667,0.274975222834476,0.838156714219585,0.67631342843917,0.838156714219585,0.837333333333333,0.276804147535349,0.838010101010101,0.676020202020202,0.838010101010101
1185,10,110,3000,0.633677145372234,0.86,0.254979004973584,0.837360181795228,0.674720363590456,0.837360181795228,0.872,0.26423754819198,0.846555555555556,0.693111111111111,0.846555555555556
1186,11,110,3000,0.649300717234334,0.862666666666667,0.255913556942375,0.838504145099524,0.677008290199049,0.838504145099524,0.850666666666667,0.260337387982638,0.835737373737374,0.671474747474748,0.835737373737374
1187,12,110,3000,0.670242139390344,0.853333333333334,0.259641093972392,0.836981020914868,0.673962041829735,0.836981020914868,0.837333333333333,0.260793718038851,0.831595959595959,0.663191919191919,0.831595959595959
